lieu,N
Cologne (France),1
Colombie-Britannique (Nord),1
Colombier (Québec),1
Colorado (Col.-Mexique : Fleuve),1
Colorado (Tex. : Fleuve),1
Colossaë (Lieu imaginaire),1
Columbia City (Or.),1
Colville Indian Reservation (Wash.),1
Comitán de Domínguez (Mexique),1
Comminges (France),1
Communauté rurale de Beaubassin-Est (N.-B.),1
Comores,1
Compton (Québec),1
Congo (Fleuve),1
Conlie (France),1
Conques (France),1
Constance (Allemagne),1
"Constance, Lac de",1
"Constance, Région du lac de",1
Constantinois (Algérie),1
Contrecoeur (Québec),1
Cook (Îles),1
"Cookshire (Cookshire-Eaton, Québec)",1
"Copacabana (Manco Kapac, Bolivie)",1
Coppermine (T.N.-O.),1
Corania (Lieu imaginaire),1
Cork (Irlande : Comté),1
Cornwall (Ont. : District),1
Corona (Lieu imaginaire),1
Costa Blanca (Espagne),1
Costa Dorada (Espagne),1
Côte d'Albâtre (France),1
Côte d'Argent (France),1
Côte Vermeille (France),1
Côte-de-l'Or,1
Coteau-du-Lac (Québec),1
Cottisham (Angleterre),1
Coulogne (France),1
"Coulonge, Rivière (Québec)",1
Courrières (France),1
Courville (France),1
Covey Hill (Québec),1
Crabtree (Québec),1
Crau (France),1
Creil (France),1
Crest (France),1
Créteil (France),1
"Croix-Rousse (Lyon, France)",1
Cruas (France),1
Cryptophace (Lieu imaginaire),1
Crystal Lake (Lieu imaginaire),1
Cumbria (Angleterre),1
Curepipe (Île Maurice),1
Cusset (France),1
Cyberespace.,1
Cyrénaïque,1
Cyrène (Ville ancienne),1
Cyrtha (Lieu imaginaire),1
Cythère (Grèce : Île),1
Cytheriae (Lieu imaginaire),1
Dachau (Allemagne : Camp de concentration),1
Dacie,1
Dagrenoque (Lieu imaginaire),1
Dahomey,1
Dalkey (Irlande),1
Dannes (France),1
Darlington (Angleterre),1
Darwin (T. du N.),1
Darwinia (Lieu imaginaire),1
Daugavpils (Lettonie),1
Davenport (Iowa),1
Davos (Suisse),1
"Davos, Région de (Suisse)",1
Deal (Angleterre),1
Decazeville (France),1
Deccan (Inde),1
Deepsix (Lieu imaginaire),1
Delhi (Ont.),1
Dells (Lieu imaginaire),1
Deloria (Lieu imaginaire),1
Demer (Belgique : Rivière),1
Déméter (Lieu imaginaire),1
Demi-Monde (Lieu imaginaire),1
Denver (Penns.),1
"Deptford (Londres, Angleterre)",1
"Deschambault (Deschambault-Grondines, Québec))",1
Deschambault (Québec : Seigneurie),1
Désert (Lieu imaginaire),1
Déserts.,1
"Deshima (Nagasaki, Japon)",1
"Detroit, Rivière de (Mich. et Ont.)",1
Deux-Montagnes (Québec),1
Deverry (Lieu imaginaire),1
Devils Tower National Monument (Wyom.),1
Dhaka (Bangladesh),1
Diable-Vert (Lieu imaginaire),1
"Diable, Île du (Guyane française)",1
Điện Biên Phủ (Viêt-nam),1
Digne-les-Bains (France),1
"Dijon, Agglomération de (France)",1
Dilmoun,1
Disko (Groenland),1
Disraeli (Québec),1
Ditrie (Lieu imaginaire),1
Dives-sur-Mer (France),1
Diyarbakır (Turquie),1
Djiminn'do (Lieu imaginaire),1
Dniepr (Fleuve),1
Dogger Bank,1
"Doller, Vallée de la (France)",1
"Dôme, Monts (France)",1
Dominique,1
Doodletown (N.Y.),1
Dorchester (Québec),1
Dordogne (France : Rivière),1
"Dordogne, Vallée de la (France)",1
Dortmund (Allemagne),1
Dorval (Québec),1
"Doubs, Saut du (France et Suisse)",1
"Douceville, Québec (Lieu imaginaire)",1
Douglas (Or.),1
Dourdan (France),1
"Douro, Estuaire du (Portugal)",1
"Douro, Vallée du (Espagne et Portugal)",1
"Downs, The (Angleterre : Collines)",1
Downtown (Lieu imaginaire),1
Drapeauville (Lieu imaginaire),1
"Drummondville, Région de (Québec)",1
Dukla (Pologne),1
Dun Cadal (Lieu imaginaire),1
Dunedin (Nouvelle-Zélande),1
"Dupas, Île (Québec)",1
Durance (France : Rivière),1
Durdane (Lieu imaginaire),1
Durham (Car. du N.),1
Dutchville (Lieu imaginaire),1
Dyam (Lieu imaginaire),1
Ea (Lieu imaginaire),1
"Ealing (Londres, Angleterre)",1
East Hampton (N.Y.),1
East Sussex (Angleterre),1
Eastport (Maine),1
Eastview (Ont.),1
Éboulements (Québec : Seigneurie),1
Èbre (Espagne : Fleuve),1
Écosse (Nord),1
"Écrins, Barre des (France)",1
Edéa (Cameroun),1
Edo (Japon),1
Édom,1
"Église Sainte-Anne (Yamachiche, Québec)",1
ÉgypteHistoire332-30 av. J.-C.,1
Eifel (Allemagne),1
El Escorial (Espagne),1
Elantris (Lieu imaginaire),1
"Elbe, Estuaire de l' (Allemagne)",1
Elbing (Allemagne),1
Élianor (Lieu imaginaire),1
Ellis Island Immigration Station (N.Y. et N.J.),1
Elron (Lieu imaginaire),1
Elyseum (Lieu imaginaire),1
Embrunais (France),1
Empire (Lieu imaginaire),1
Empire carolingien,1
Empire Sith (Lieu imaginaire),1
Engadine (Suisse),1
Ensenada (Argentine),1
Eourres (France),1
Épinal (France),1
Eramis (Lieu imaginaire),1
Ergoth (Lieu imaginaire),1
Ériande (Lieu imaginaire),1
"Érié, Région du lac",1
Erna (Lieu imaginaire),1
Ervalon (Lieu imaginaire),1
Escaut (France),1
"Esclaves, Côte des",1
"Esclaves, Petit lac des (Alb.)",1
Escorionte (Lieu imaginaire),1
Espace extra-atmosphériqueExploitation minière,1
Espagne (Nord),1
EspagneHistoire17e siècle,1
EspagneHistoire711-1492 (Période arabe),1
EspagneMœurs et coutumes,1
EspagnePolitique et gouvernement1939-1975,1
Espérance.,1
Esperia (Lieu imaginaire),1
"Espinouse, Monts de l' (France)",1
Espírito Santo (Brésil : État),1
"Estaing (Aveyron, France)",1
Esterel (France),1
Estrémadure (Espagne),1
Étaples (France),1
États confédérés d'Amérique,1
États de l'Atlantique (États-Unis),1
États de l'Église,1
États du Pacifique (États-Unis),1
États-Unis (Est)Conditions sociales20e siècle,1
États-Unis (Nord),1
États-UnisConditions sociales1980-,1
États-UnisRelations extérieuresURSS,1
Étrurie,1
Eulenbourg (Lieu imaginaire),1
Eureka (Calif.),1
Europe méridionale,1
EuropeDescriptions et voyages,1
Europole (Lieu imaginaire),1
Ever Ellieve (Lieu imaginaire),1
Exeter (Angleterre),1
Extravaganza (Lieu imaginaire),1
Faërie (Lieu imaginaire),1
Fagne (Lieu imaginaire),1
"Falaise (Calvados, France)",1
Falanor (Lieu imaginaire),1
Falati (Lieu imaginaire),1
Fall River (Mass.),1
Famagouste (Chypre),1
"Farallon, Îles (Calif.)",1
Fargo (Dak. du N.),1
Fårön (Suède),1
FarreTerre (Lieu imaginaire),1
Farsala (Lieu imaginaire),1
"Faubourg Saint-Honoré (Paris, France)",1
Faudace (Lieu imaginaire),1
Fayetteville (Ark.),1
Fédala (Maroc),1
"Félix-Antoine-Savard, Mont (Québec)",1
"Fensch, Vallée de la (France)",1
Ferme-Neuve (Québec),1
Fermo (Italie),1
Fernando de Noronha (Brésil),1
Fes,1
"Fifth Avenue (New York, N.Y.)",1
"Finlande, Golfe de",1
Finnmark (Norvège),1
Firminy (France),1
Fismes (France),1
Flandre-Occidentale (Belgique),1
FlandreHistoire,1
FlandreHistoire15e siècle,1
Fleurie (France),1
"Flint, Collines (Kansas et Okl.)",1
Florence (Italie)Histoire,1
Focşani (Roumanie),1
Foggia (Italie),1
Fontaine-de-Vaucluse (France),1
Forelands (Lieu imaginaire),1
Forêt de Chantilly (France),1
Forêt de Marly (France),1
Forêt de Rambouillet (France),1
Forêt de Ryhope (Lieu imaginaire),1
Forêt de Soignes (Belgique),1
Forêt du Vyanthryr (Lieu imaginaire),1
"Forges du Saint-Maurice (Trois-Rivières, Québec)",1
Formentera (Espagne),1
Fort Amherst (Î.-P.-É.),1
Fort Beaubassin (N.-É.),1
Fort Boyard (France),1
Fort George (Québec),1
"Fort Pentagoët (Castine, Maine)",1
Fort Qu'Appelle (Sask.),1
Fort Sainte-Marie-des-Hurons (Ont.),1
Fort Worth (Tex.),1
Forteresse de Louisbourg (N.-É.),1
Fos-sur-Mer (France),1
"Fournier (Prescott, Ont.)",1
France (Nord-Est),1
France (Nord-Ouest),1
FranceConditions sociales20e siècle,1
FranceCours et courtisans,1
FranceHistoire,1
FranceHistoire1643-1715 (Louis XIV),1
FranceHistoire1715-1723 (Régence),1
FranceHistoire1715-1774 (Louis XV),1
FranceHistoire1774-1793 (Louis XVI),1
FranceHistoireJusqu'à 987,1
FranceMœurs et coutumes20e siècle,1
FranceVie intellectuelle20e siècle,1
Francfort-sur-l'Oder (Allemagne : Bezirk),1
Francia (Lieu imaginaire),1
"Franconville (Val-d'Oise, France)",1
"Fraser, Fleuve (C.-B.)",1
Fray Bentos (Uruguay),1
Frederick (Mar.),1
Frée (Lieu imaginaire),1
Freetown (Sierra Leone),1
Freiberg (Allemagne),1
Frejus (France),1
Fremantle (Austr.-Occ.),1
Frioul-Vénétie Julienne (Italie),1
Friville-Escarbotin (France),1
"Fundy, Baie de",1
"Fyne, Loch (Écosse)",1
Gaberin (Lieu imaginaire),1
Gainesville (Flor.),1
Gallica (Lieu imaginaire),1
Galova (Lieu imaginaire),1
"Gambier, Îles (Polynésie française)",1
Gange (Inde et Bangladesh : Fleuve),1
Gangtok (Inde),1
Gao (Mali : Région administrative),1
Gap (France),1
"Garde, Lac de (Italie)",1
Garfield (Utah : Comté),1
Gargantaur (Lieu imaginaire),1
Gargilesse-Dampierre (France),1
Garonne (Espagne et France : Fleuve),1
Garwolin (Pologne : Powiat),1
"Gascogne, Golfe de (Espagne et France)",1
Gaspé-Est (Québec : Division de recensement),1
"Gatineau, Région de la (Québec)",1
Gavarnie (France),1
Geath (Lieu imaginaire),1
Geel (Belgique),1
"Genay (Rhône, France)",1
Genesia (Lieu imaginaire),1
"Gentilly (Bécancour, Québec)",1
Georgetown (Kent.),1
Géorgie (République)Mœurs et coutumesHumour,1
Gérimont (Lieu imaginaire),1
Gettland (Lieu imaginaire),1
Ghāghara (Inde : Rivière),1
"Gibraltar, Détroit de",1
Gien (France),1
Giglio (Italie : Île),1
Gisors (France),1
Gizeh (Égypte),1
Gléguen (Lieu imaginaire),1
Glenravenne (Lieu imaginaire),1
Globa (Lieu imaginaire),1
Globalia (Lieu imaginaire),1
Gloucester (Mass.),1
Golconde (Inde),1
Golden Gate (Calif.),1
"Goma (Nord-Kivu, Congo)",1
Gomera (Canaries),1
Gonaïves (Haïti),1
Gondar (Éthiopie),1
Gonelore (Lieu imaginaire),1
Gorizia (Italie),1
Götaland (Suède),1
Gotham City (Lieu imaginaire),1
"Goutte-d'Or (Paris, France)",1
"Granby, Région de (Québec)",1
"Grand Canyon, Région du (Ariz.)",1
Grand Erg oriental (Algérie et Tunisie),1
Grand Karroo (Afrique du Sud),1
Grand Rapids (Mich.),1
Grand-Bassam (Côte-d'Ivoire),1
Grand-Métis (Québec),1
Grand-Santi-Papaichton (Guyane française),1
"Grande Borne (Grigny, Essonne, France)",1
Grande-Anse (Québec : Seigneurie),1
Grande-BretagneHistoire navale,1
Grande-BretagneHistoire1837-1901 (Victoria),1
"Grande, Rio (Col.-Mexique et Tex.)",1
Grandes-Bergeronnes (Québec),1
"Grands jardins, Les (Québec)",1
"Granier, Mont (France)",1
Graves (France : Région),1
"Gravesend (Kent, Angleterre)",1
Great Falls (Mont.),1
Great Smoky Mountains National Park (Car. du N. et Tenn.),1
"Great Smoky, Monts (Car. du N. et Tenn.)",1
Green Bay (Wisc.),1
"Green, Région de la (King, Wash.)",1
Greenbrooke (Lieu imaginaire),1
Grenade (Espagne)HistoireJusqu'à 1500,1
Grète (Grèce),1
Grignan (France),1
"Grigny (Essonne, France)",1
"Grues, Île aux (Montmagny, Québec)",1
Guadalajara (Espagne : Province),1
Guadalquivir (Espagne : Fleuve),1
Guam,1
Guantánamo (Cuba),1
"Guantánamo, Baie de (Cuba)",1
Guatemala (Guatemala),1
Guayaquil (Équateur),1
Guebwiller (France),1
Gueldre (Pays-Bas),1
"Guérande, Presqu'île de (France)",1
Guernica y Luno (Espagne),1
Guigues (Québec : Canton),1
Guilvinec (France),1
Guingamp (France),1
Gumri (Arménie),1
Gwendalavir (Lieu imaginaire),1
Gwynedd (Pays de Galles),1
Gyatso (Lieu imaginaire),1
Haardt (Allemagne),1
Haarlem (Pays-Bas),1
"Hague, Péninsule de la (France)",1
Haguenau (France),1
Haida Gwaii (C.-B.),1
Half Moon Bay (Calif.),1
Halle-Neustadt (Allemagne),1
"Halley, Comète de",1
Hallow (Lieu imaginaire),1
Halmstad (Suède),1
Halo (Lieu imaginaire),1
Ham-Sud (Québec : Canton),1
Hamilton (Ohio),1
Hampstead (Québec),1
Hangzhou (Chine),1
Hanovre (Allemagne),1
Harlan (Kent. : Comté),1
Harlan (Lieu imaginaire),1
Harpers Ferry (Virg.-Occ.),1
"Harrington Hardbour (Côte-Nord-du-Golfe-du-Saint-Laurent, Québec)",1
Hashlab (Lieu imaginaire),1
Haut-Vivarais (France),1
Haute Engadine (Suisse),1
Haute-Autriche (Autriche),1
Haute-Côte-Nord (Québec),1
Haute-Garonne (France),1
Haute-Mauricie (Québec : Région),1
Haute-Saône (France),1
Haute-Vienne (France),1
"Hauterive (Baie-Comeau, Québec)",1
Hauterive (Québec),1
Hauts-de-France (France),1
Havre-Grâce (Lieu imaginaire),1
Havrefer (Lieu imaginaire),1
Hawaii (Hawaii),1
Haworth (Angleterre),1
Heilongjiang (Chine : Sheng),1
Hélderion (Lieu imaginaire),1
Helensburgh (Écosse),1
Hendaye (France),1
Hereford (Angleterre),1
Hermopolis (Ville ancienne),1
Hermosillo (Mexique),1
Herne Bay (Angleterre),1
Hesse-Nassau (Allemagne),1
Hiddensee (Allemagne),1
"Hindenburg, Ligne (France)",1
Hiroshima (Japon : Ken),1
Hispaniola (Lieu imaginaire),1
Hiva-Oa (Polynésie française),1
Hobart (Tasm.),1
Hoboken (N.J.),1
Holbus (Lieu imaginaire),1
"Holy, Île (Angleterre)",1
Hometone (Lieu imaginaire),1
Homs (Syrie),1
Hoover Dam (Ariz. et Nev.),1
Huahine (Polynésie française),1
Huang He (Chine),1
Hubei (Chine),1
Huberdeau (Québec),1
"Hudson, Région de la baie d'",1
Huelgoat (France),1
Huesca (Espagne : Province),1
Huesca (Espagne),1
Huizen (Pays-Bas),1
Huntingdon (Québec),1
Huntington (Virg.-Occ.),1
Huntsville (Alab.),1
"Huron, Lac (Mich. et Ont.)",1
Hvar (Croatie : Île),1
Hyattsville (Mar.),1
"Hyde Park (Londres, Angleterre)",1
Hydra (Grèce : Île),1
Iakoutie (Russie),1
"Iamal, Presqu'île de (Russie)",1
"Ibérique, Péninsule",1
Ifrane (Maroc),1
Igloolik (Nunavut),1
Ildrecca (Lieu imaginaire),1
Île aux Bernaches (Lieu imaginaire),1
"Ile Creuse, Scandinavie (Lieu imaginaire)",1
Île d'Iseora (Lieu imaginaire),1
Île de Gansett (Lieu imaginaire),1
Île de Ji (Lieu imaginaire),1
Île-aux-Moines (France),1
Île-de-Batz (France),1
Île-de-Montréal (Québec),1
Île-Jésus (Québec : Seigneurie),1
Île-Rien (Lieu imaginaire),1
Îles Anglo-Normandes,1
Îles Vierges américaines,1
Îles Vierges britanniques,1
Ilfracombe (Angleterre),1
Ille-et-Vilaine (France),1
Illea (Lieu imginaire),1
Illiers-Combray (France),1
Illimani (Bolivie : Massif),1
Illyrie,1
Imphallion (Lieu imaginaire),1
IndeConditions sociales,1
IndeHistoire1765-1947 (Occupation britannique),1
"Indiana University (Bloomington, Ind.)",1
Indre (France : Rivière),1
Indre (France),1
Influence littéraire.,1
Inglend (Lieu imaginaire),1
Ingouchie (Russie),1
Insulinde,1
Inverness (Écosse),1
Iowa City (Iowa),1
"Ipoh (Perak, Malaisie)",1
Iquique (Chili),1
"Iroise, Mer d' (France)",1
Irún (Espagne),1
Isis (Lieu imaginaire),1
Islāmābād (Pākistān),1
Islay (Écosse),1
Isola (Lieu imaginaire),1
Istres (France),1
Istrie (Croatie et Slovénie),1
Isylas (Lieu imaginaire),1
Italie (Centre),1
Ivry-sur-Seine (France),1
Ixelles (Belgique),1
"İzmir, Golfe d' (Turquie)",1
Iztaccíhuatl (Mexique),1
Jackson (Mississ.),1
Jackson (Wyom.),1
Jacksonville (Flor.),1
Jacksonville (Or.),1
Jacmel (Haïti),1
Jacques-Cartier (Québec),1
"Jacques-Cartier, Rivière (Québec)",1
Jamädhalvie (Lieu imaginaire),1
"James, Baie",1
"Japon, Îles de la mer du",1
"Japon, Mer du",1
"Jardins de Métis (Grand-Métis, Québec)",1
"Jardins de Versailles (Versailles, France)",1
Jarnac (France),1
Jasper (Alb.),1
Jelgava (Lettonie),1
Jérémie (Haïti),1
Jérico (Lieu imaginaire),1
Jersey City (N.J.),1
Jeseníky (République tchèque),1
Jharkhand (Inde),1
Joinville (France),1
Joliet (Ill.),1
"Jonquière (Saguenay, Québec)",1
"Jorat, Massif du (Suisse)",1
"Jourdain, Vallée du",1
Jouy-en-Josas (France),1
Jouy-le-Moutier (France),1
Jujuy (Argentine : Province),1
Juneau (Alaska),1
Jupiter (Planète),1
Jura suisse (Suisse),1
Kâ (Lieu imaginaire),1
Kabakon (Papouasie-Nouvelle-Guinée),1
"Kabinakagami, Région du lac (Ont.)",1
Kachouane (Lieu imaginaire),1
Kadpidi (Lieu imaginaire),1
Kaguesna (Lieu imaginaire),1
Kakadu National Park (T. du N.),1
Kalamazoo (Mich.),1
Kamouraska (Québec : Seigneurie),1
Kan-Pang (Lieu imaginaire),1
Kanazawa (Japon),1
Kānchenjunga (Népal et Inde),1
"Kānpur (Uttar Pradesh, Inde)",1
Kansai (Japon),1
Kantō (Japon),1
Karen (Birmanie : État),1
Karkan (Lieu imaginaire),1
Karlovy Vary (République tchèque),1
Karroo (Afrique du Sud),1
Kars (Turquie),1
Karst (Slovénie et Italie : Région),1
Kashi (Chine),1
Kaszuby (Pologne),1
Katanga (Congo),1
Katrineholm (Suède),1
Kaunas (Lituanie),1
Kavongo (Lieu imaginaire),1
Kazan (Russie),1
Kelewan (Lieu imaginaire),1
"Kenai, Péninsule de (Alaska)",1
Kenitra (Maroc),1
"Kénogami (Saguenay, Québec)",1
"Kensington and Chelsea (Londres, Angleterre)",1
"Kensington Gardens (Londres, Angleterre)",1
Kent (N.-B. : Comté),1
"Kerkennah, Îles (Tunisie)",1
Kettering (Angleterre),1
"Keumjong, Corée (Lieu imaginaire)",1
Kharkov (Ukraine),1
Kikinda (Serbie),1
Kilis (Turquie),1
Kilkenny (Irlande),1
"Killarney (Kerry, Irlande)",1
Kingston (Jamaïque),1
Kinnear's Mills (Québec),1
Kinsale (Irlande),1
Kipawa (Québec),1
Kirkland Lake (Ont.),1
Kisangani (Congo),1
Kita (Mali),1
Kitamaat no 2 (C.-B. : Réserve indienne),1
Kivu (Congo),1
Klagenfurt (Autriche),1
"Klondike, Rivière (Yukon)",1
Kodiak (Alaska),1
Koksijde (Belgique),1
Kolthar (Lieu imaginaire),1
"Kolyma, Plaine de la (Russie)",1
"Komárno (Slovaquie-Occidentale, Tchécoslovaquie)",1
Komodo (Indonésie : Île),1
Kongo Central (Congo),1
"Kootenay, Lac (C.-B.)",1
"Kootenay, Vallée de la",1
Korčula (Croatie : Île),1
Korguénie (Lieu imaginaire),1
Korzen (Lieu imaginaire),1
"Koukdjuak, Grande plaine de la (Nunavut)",1
Kourou (Guyane française),1
Koutaïssi (République de Géorgie),1
Koweït (Koweït),1
Krakatoa (Indonésie),1
Krishna (Lieu imaginaire),1
Krondor (Lieu imaginaire),1
Kronose (Lieu imaginaire),1
"Kuiper, Ceinture de",1
Kunming (Chine),1
Kutno (Pologne),1
"Kuujjuaq, Région de (Québec)",1
Kuujjuarapik (Québec),1
"Kyūshū, Région de (Japon)",1
L'Abord-à-Plouffe (Québec),1
L'Aiguillon-sur-mer (France),1
L'Ancienne-Lorette (Québec),1
L'Anse-Amour (T.-N.-L.),1
"L'Anse-aux-Griffons (Gaspé, Québec)",1
L'Arbresle (France),1
"L'Assomption, Rivière (Québec)",1
"L'Estaque (Marseille, France)",1
L'Île Bleue (Lieu imaginaire),1
L'Île-aux-Coudres (Québec),1
"L'Île-Bizard (Montréal, Québec)",1
"L'Île-d'Entrée (Les Îles-de-la-Madeleine, Québec)",1
L'Isle-Adam (France),1
L'Isle-sur-la-Sorgue (France),1
L'Islet (Québec : Seigneurie),1
L'Islet (Québec),1
"L'Islet-sur-Mer (L'Islet, Québec)",1
L'Orignal (Ont.),1
"La Baie (Saguenay, Québec)",1
La Bassée (France),1
La Calamine (Belgique),1
La Calla (Lieu imaginaire),1
La Caverne (Lieu Imaginaire),1
La Charité-sur-Loire (France),1
La Chaux-d'Ambruiz (Lieu imaginaire),1
La Conception (Québec),1
La Corogne (Espagne),1
La Côte-de-Beaupré (Québec),1
La Désirade (Guadeloupe),1
La Doré (Québec),1
La Durantaye (Québec),1
La Haute-Côte-Nord (Québec),1
La Havane (Cuba)Mœurs et coutumes,1
La Louvière (Belgique),1
La Macaza (Québec),1
La Paz (Bolivie),1
La Péninsule (Lieu imaginaire),1
"La Plaine (Terrebonne, Québec)",1
La Plata (Argentine),1
La Prairie (Québec),1
"La Providence (Saint-Hyacinthe, Québec)",1
La Sauve (France),1
La Trinité-sur-Mer (France),1
"La Tuque, Région de (Québec)",1
La Vallée-de-la-Gatineau (Québec),1
"La Villette (Paris, France)",1
"Labelle, Région de (Québec)",1
Labourd (France),1
"Labrador, Mer du",1
"Lac-Mégantic, Région de (Québec)",1
Lac-Nominingue (Québec),1
Lac-Saint-Jean-Est (Québec),1
"Lachine, Rapides de (Québec)",1
Lacolle (Québec),1
Laertnom (Lieu imaginaire),1
Lafayette (Mississ.),1
Laforce (Québec),1
Laghmān (Afghānistān : Province),1
Laghouat (Algérie : Wilāya),1
Laghouat (Algérie),1
Laguiole (France),1
Lailonie (Lieu imaginaire),1
Lake Charles (Louis.),1
Lake Forest (Ill.),1
"Lamèque, Île (N.-B.)",1
Lamu (Kenya : Île),1
Lanaudière,1
Lancaster (Angleterre),1
Landes (France : Département),1
Landes (France : Département)France,1
Landévennec (France),1
Landshut (Allemagne),1
Langeland (Danemark),1
Lankhmar (Lieu imaginaire),1
Lanmeur (Lieu imaginaire),1
Lannemezan (France),1
Lanoraie (Québec),1
"Lanvaux, Landes de (France)",1
"Laroque-d'Olmes, Région de (France)",1
"LaSalle (Montréal, Québec)",1
Latium (Italie),1
Lattaquié (Syrie),1
Launceston (Tasm.),1
Lauragais (France),1
"Laurentides, Région de (Québec)",1
Lavaca (Tex.),1
"Lavallière, Baie de (Québec)",1
Lavaltrie (Québec),1
Le Blanc-Mesnil (France),1
Le Bourget (France),1
Le Cap-Nord (Afrique du Sud),1
Le Cateau-Cambrésis (France),1
Le Conquet (France),1
Le Creusot (France),1
"Le Faouët (Morbihan, France)",1
Le Fjord-du-Saguenay (Québec),1
Le Haut-Richelieu (Québec),1
Le Haut-Saint-Maurice (Québec),1
Le Helder (Pays-Bas),1
Le Mée-sur-Seine (France),1
"Le Mirail (Toulouse, France)",1
Le Monastier-sur-Gazeille (France),1
Le Neubourg (France),1
"Le Panier (Marseille, France)",1
Le Pirée (Grèce),1
Lecce (Italie),1
Leicestershire (Angleterre),1
Lemberg (Autriche),1
Lemieux (Québec),1
Lémurie,1
Lena (Russie : Fleuve),1
"Lennoxville (Sherbrooke, Québec)",1
Lerici (Italie),1
Les Appalaches (Québec),1
Les Baux-de-Provence (France),1
Les Cayes (Haïti),1
Les Cèdres (Québec),1
Les Îles-de-la-Madeleine (Québec),1
Les Méchins (Québec),1
"Les Milles (Aix-en-Provence, France)",1
Les Verrières (Suisse),1
Lesneven (France),1
Levanto (Italie),1
Lévezou (France),1
"Lévis, Région de (Québec)",1
"Lewisham (Londres, Angleterre)",1
Lewiston (Me.),1
Lhassa (Chine),1
Liavek (Lieu imaginaire),1
Liban-Sud (Liban),1
Libourne (France),1
Liechtenstein,1
"Lille, Agglomération de (France)",1
"Limerick (Limerick, Irlande)",1
Lincoln (Nebr.),1
Lindormyn (Lieu imaginaire),1
Lipari (Italie : Île),1
Lisbon (Maine),1
Lisle-sur-Tarn (France),1
Listuguj (Québec : Réserve indienne),1
Literia (Lieu imaginaire),1
Livry-Gargan (France),1
Loar (Lieu imaginaire),1
Lodi (Italie),1
Łódź (Pologne),1
Loerem (Lieu imaginaire),1
Logar (Afghānistān),1
Loire-Inférieure (France),1
Loiret (France),1
Londes (Angleterre),1
Londres (Angleterre)Histoire18e siècle,1
Londres (Angleterre)Mœurs et coutumes19e siècle,1
Londres (Angleterre)Vie intellectuelle18e siècle,1
Long Beach (N.Y.),1
Long Island (N.Y.)Descriptions et voyages,1
Longres (Angleterre),1
"Longueuil, Région de (Québec)",1
Lons-le-Saunier (France),1
Lorca (Espagne),1
"Los Angeles, Région de (Calif.)",1
Lot (France : Rivière),1
Lot-et-Garonne (France),1
Lotbinière (Québec),1
"Louise, Lac (Alb.)",1
LouisianeRelations raciales,1
"Loup, Rivière du (Maskinongé, Québec)",1
Louveciennes (France),1
Louviers (France),1
"Louvre (Paris, France)",1
Louxor (Égypte),1
Lowlands (Écosse),1
"Lozère, Mont (France)",1
Lubang (Philippines : Îles),1
Lublin (Pologne),1
Lucknow (Inde),1
Ludlow (Angleterre),1
Ludovica (Lieu imaginaire),1
Lugheir (Lieu imaginaire),1
Luleå (Suède),1
"Lund (Malmöhus, Suède)",1
Lüneburg (Allemagne),1
"Lure, Montagne de (France)",1
"Lussac (Gironde, France)",1
"Luton (Bedfordshire, Angleterre)",1
Lyneroy (Lieu imaginaire),1
Lynwood (Calif.),1
Lyon (France)Descriptions et voyages,1
"Lyonnais, Monts du (France)",1
Lyons-la-Forêt (France),1
M (Lieu imaginaires),1
Maardam (Lieu imaginaire),1
Macau (France),1
Machreq,1
Machu Picchu (Pérou : Site archéologique),1
Maclow (Lieu imaginaire),1
Macon (Géorgie : Comté),1
Macon (Géorgie),1
Mâconnais (France),1
Madawaska (Maine),1
Madawaska (N.-B. et Maine),1
Madawaska (Québec : Seigneurie),1
Madère (Archipel),1
Madère (Madère),1
Madguired (Lieu imaginaire),1
Madrid (Espagne)Conditions sociales17e siècle,1
"Maestra, Sierra (Cuba)",1
Magdeburg (Allemagne),1
"Magellan, Détroit de (Chili et Argentine)",1
Mahdia (Tunisie),1
"Maisonneuve (Montréal, Québec)",1
Majorque (Royaume),1
Makarska (Croatie),1
"Malabar, Côte de (Inde)",1
"Malabourg, Gaspésie (Lieu imaginaire)",1
Malacca (Malaisie),1
"Malacca, Détroit de",1
Malartic (Québec),1
Malatoha (Lieu imaginaire),1
Malawi,1
"Malbaie, La (Charlevoix-Est, Québec)",1
Malbork (Pologne),1
Maldives,1
Maldon (Angleterre),1
Malsain (Lieu imaginaire),1
Manāslu (Népal),1
Manche (Espagne),1
Manchester (Mass.),1
Manchester (N.H.),1
Mangalore (Inde),1
Manhattan (Kansas),1
"Manicouagan, Rivière (Québec)",1
Manitoba (Nord),1
"Manitoulin, Île (Ont.)",1
Manokhsor (Lieu imaginaire),1
"Manouane, Rivière (Le Fjord-du-Saguenay, Québec)",1
"Mans, Agglomération du (France)",1
Mansfield (Ohio),1
Mantoue (Italie),1
Maputo (Mozambique),1
"Maputo, Baie de (Mozambique)",1
Marajó (Brésil),1
Maramureş (Roumanie),1
Marbella (Espagne),1
Marblehead (Mass.),1
"Marché Atwater (Montréal, Québec)",1
"Marché Jean-Talon (Montréal, Québec)",1
Marche-en-Famenne (Belgique),1
Marches (Italie),1
Marcoussis (France),1
Marcq-en-Barœul (France),1
"Marennes (Charente-Maritime, France)",1
Marettimo (Italie : Île),1
"Margarita, Île de (Venezuela)",1
Margeride (France),1
